.,,,,,,,,,,,,,,Augur,prediction
,,,,,,,,,,,,,,pulverize,defeat
,,,,,,,,,,,,,,rout,defeat
,,,,,,,,,,,,,,subjugate,defeat
,,,,,,,,,,,,,,vanquish,defeat
,,,,,,,,,,,,,,capitulate,surrender
,,,,,,,,,,,,,,axioms,rule
,,,,,,,,,,,,,,canons,rule
,,,,,,,,,,,,,,dictum,rule
,,,,,,,,,,,,,,doctrine,rule
,,,,,,,,,,,,,,dogmas,rule
,,,,,,,,,,,,,,ideology,belief
,,,,,,,,,,,,,,mandate,rule
,,,,,,,,,,,,,,tenets,rule
,,,,,,,,,,,,,,dissident,rebellious
,,,,,,,,,,,,,,heresy,rebellious
,,,,,,,,,,,,,,heretical,rebellious
,,,,,,,,,,,,,,heterodox,rebellious
,,,,,,,,,,,,,,iconoclast,rebellious
,,,,,,,,,,,,,,insurgent,rebellious
,,,,,,,,,,,,,,insurrection,rebellious
,,,,,,,,,,,,,,maverick,rebellious
,,,,,,,,,,,,,,noncomformist,rebellious
,,,,,,,,,,,,,,radical,rebellious
,,,,,,,,,,,,,,renegade,rebellious
,,,,,,,,,,,,,,revolutionary,rebellious
,,,,,,,,,,,,,,subversive,rebellious
,,,,,,,,,,,,,,conservative,conventional
,,,,,,,,,,,,,,conventional,conventional
,,,,,,,,,,,,,,hidebound,conventional
,,,,,,,,,,,,,,orthodox,conventional
,,,,,,,,,,,,,,reactionary,conventional
,,,,,,,,,,,,,,captious,complainld
,,,,,,,,,,,,,,carping,complainld
,,,,,,,,,,,,,,grouse,complainld
,,,,,,,,,,,,,,querulous,complainld
,,,,,,,,,,,,,,jeopardy,danger
,,,,,,,,,,,,,,pitfall,danger
,,,,,,,,,,,,,,precarious,danger
,,,,,,,,,,,,,,snare,danger
,,,,,,,,,,,,,,malevolence,illwill
,,,,,,,,,,,,,,malice,illwill
,,,,,,,,,,,,,,rancor,illwill
,,,,,,,,,,,,,,vicious,illwill
,,,,,,,,,,,,,,virulent,illwill
,,,,,,,,,,,,,,beset,trouble
,,,,,,,,,,,,,,beleaguered,trouble
,,,,,,,,,,,,,,plagued,trouble
,,,,,,,,,,,,,,abase,mock
,,,,,,,,,,,,,,banter,mock+
,,,,,,,,,,,,,,belittle,mock
,,,,,,,,,,,,,,condescend,mock
,,,,,,,,,,,,,,denigrate,mock
,,,,,,,,,,,,,,deride,mock
